% Model:              StrainTuningCantilever_LARGER_fin.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 24 2024, 18:14
% Dimension:          3
% Nodes:              5834
% Expressions:        1
% Description:        Slice
% x                       y                        z                        Strain tensor, YY-component
1.3877787807814457E-17    35                       -3.854497356187686       -8.839930158979996E-11
0                         35                       -3.6361369600222315      -8.359199939250095E-11
-6.938893903907228E-18    34.647504280006075       -3.9342698018083837      -7.956458029093722E-11
0                         34.302926853964564       -3.6408651028867993      -6.275210648440077E-11
0                         35                       -4.234416859544958       -9.676340009538516E-11
-1.3877787807814457E-17   34.37320259790662        -4.04057389324204        -7.093371240258235E-11
2.7755575615628914E-17    34.30292685397019        -3.975098580543118       -6.772345825034065E-11
1.1102230246251565E-16    35                       -4.6245556997716015      -9.651549610004944E-11
0                         33.00186988028508        -2                       0
0                         33.05592808403306        -2.070560406179869       2.557265735936594E-12
0                         32.97038273666487        -2.067451520240492       -6.849313169621005E-13
1.3877787807814457E-17    32.273423562690894       -2                       0
-1.3877787807814457E-17   32.23515501308374        -2.0407319007315374      -4.4641074404269525E-12
0                         32.88302065671109        -2.254597905306521       -5.337706628555631E-13
6.938893903907228E-18     32.33900776684739        -2.1762875052483883      -5.1708186616278305E-12
0                         32.203949220656966       -2                       -2.8345027044520113E-12
-1.3877787807814457E-16   32.61640947252819        -2.5383708833499714      -6.743945804381187E-12
0                         33.11048877108743        -2.9258673560618953      -1.797160714331031E-11
5.551115123125783E-17     33.094255855332335       -2.6713961165175504      -9.4759391082146E-12
-2.7755575615628914E-17   32.76868684666849        -2.657798970138189       -9.986739020735393E-12
0                         31.132219997621135       -2.2198727615335216      -3.6177006233580214E-13
0                         31.35631757358825        -2.64717010463887        -1.0648284374291334E-12
2.7755575615628914E-17    30.770540732737857       -2.3490416481589493      5.828612971348211E-13
0                         31.01311723894878        -2.647170104638483       -5.545042996076583E-13
0                         31.016906964035762       -2                       -7.522519585360577E-27
2.7755575615628914E-17    30.48653797589782        -2                       1.276307776982511E-12
0                         31.4294121687659         -3.158799886158449       -6.2388304034791445E-12
0                         31.593845061269803       -3.1000748894228622      -2.676220588115253E-12
1.3877787807814457E-17    32.1400642401496         -2.1151905978404235      -4.280984680314598E-12
1.3877787807814457E-17    31.388773544211773       -2.1474390412610482      -2.4518484538425963E-13
6.938893903907228E-18     31.910989009554555       -2                       -1.4821003544773164E-26
0                         31.845027135920354       -2.6471701046395903      -4.415979142063612E-12
0                         31.254161955969913       -2                       -1.4985588731140512E-26
1.3877787807814457E-17    32.21868566499632        -2.1393357710759893      -8.441992729432621E-12
1.1102230246251565E-16    32.08216530135757        -2.9566987999063645      -7.372758378815582E-12
2.7755575615628914E-17    32.47746261408151        -2.647170104637791       -7.975940336122218E-12
2.7755575615628914E-17    31.650965403415878       -3.294340209308438       -4.382633219351939E-12
3.469446951953614E-18     32.55473437503941        -3.3273252351676215      -1.861160036657037E-11
0                         32.528903538678634       -2.9433045856503797      -1.2587350154054698E-11
0                         32.5958717978954         -3.328826635414215       -1.917661038154771E-11
3.469446951953614E-18     32.818198759422586       -3.336940944277463       -2.2174091003871586E-11
2.0816681711721685E-17    29.645197400918946       -2                       0
6.938893903907228E-18     29.540633339060705       -2.156838795641153       1.3672106687288725E-12
